,From,To,Operator,Distance,Departure,Arrival,Has A/C?,Sleeper Category,Is Seater?,Is Multi-Axle?,Has Video?,Pushback Seats,Seat Format,Bus Brand,Duration
153,Hosur,Chavadi,Kallada Travels,227,10:20:00 PM,04:01:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 05:41:00
154,Hosur,Chavadi,Kallada Travels,204,09:05:00 PM,02:11:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 05:06:00
155,Hosur,Chavadi,Kallada Travels,204,08:10:00 PM,01:16:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 05:06:00
156,Hosur,Thirunallar,Srs Travels (SRS Travels),340,11:30:00 PM,08:00:00 AM,False,Other,False,False,True,False,2+2,,0 days 08:30:00
157,Hosur,Kodakara,Kallada Travels,463,09:15:00 PM,08:50:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 11:35:00
158,Hosur,Parasala,Kallada Travels,486,09:10:00 PM,09:19:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
159,Hosur,Batlagundu,Kallada Travels,280,08:20:00 PM,03:20:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 07:00:00
160,Hosur,Batlagundu,KPN Travels,290,10:45:00 PM,06:00:00 AM,True,Sleeper,False,False,False,False,,,0 days 07:15:00
161,Hosur,Tutucorin,KPN Travels,450,07:45:00 PM,07:00:00 AM,True,Sleeper,False,False,False,False,,,0 days 11:15:00
162,Hosur,Tutucorin,Srs Travels (SRS Travels),340,10:00:00 PM,06:30:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 08:30:00
163,Hosur,Tutucorin,SRM Transports India Private Limited,356,09:30:00 PM,06:24:00 AM,,Sleeper,False,False,False,False,,,0 days 08:54:00
164,Hosur,Tutucorin,KPN Travels,450,07:15:00 PM,06:30:00 AM,False,Other,False,False,False,False,2+1,,0 days 11:15:00
165,Hosur,Tutucorin,KPN Travels,430,08:15:00 PM,07:00:00 AM,True,Other,False,True,False,False,2+2,volvo,0 days 10:45:00
166,Hosur,Nedugandam,Royal Travels,301,08:45:00 PM,04:17:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 07:32:00
167,Hosur,Tenkasi,KPN Travels,460,08:00:00 PM,07:30:00 AM,False,Sleeper,False,False,False,False,,,0 days 11:30:00
168,Hosur,Tenkasi,Srs Travels (SRS Travels),310,10:15:00 PM,06:00:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 07:45:00
169,Hosur,Erode,Srs Travels (SRS Travels),200,11:45:00 PM,04:45:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 05:00:00
170,Hosur,Erode,Sachin Travels,200,12:00:00 AM,05:00:00 AM,False,Semi-Sleeper,False,False,True,False,2+1,,0 days 05:00:00
171,Hosur,Erode,KPN Travels,190,04:00:00 PM,08:45:00 PM,True,Other,False,True,False,False,2+2,volvo,0 days 04:45:00
172,Hosur,Erode,KPN Travels,160,09:00:00 AM,01:00:00 PM,True,Other,False,True,False,False,2+2,volvo,0 days 04:00:00
173,Hosur,Erode,Kallada Travels,185,09:45:00 AM,02:23:00 PM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 04:38:00
174,Hosur,Erode,Kallada Travels,199,02:45:00 PM,07:44:00 PM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 04:59:00
175,Hosur,Trichy,KPN Travels,310,09:15:00 PM,05:00:00 AM,False,Other,False,False,False,False,2+2,,0 days 07:45:00
176,Hosur,Trichy,KPN Travels,270,09:45:00 PM,04:30:00 AM,False,Other,False,False,False,False,2+2,,0 days 06:45:00
177,Hosur,Trichy,KPN Travels,270,02:15:00 PM,09:00:00 PM,True,Other,False,True,False,False,2+2,volvo,0 days 06:45:00
178,Hosur,Karur,Royal Travels,213,11:45:00 PM,05:05:00 AM,,Other,False,False,False,False,2+2,,0 days 05:20:00
179,Hosur,Karur,Royal Travels,213,10:30:00 PM,03:50:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 05:20:00
180,Hosur,Karur,Kallada Travels,266,08:20:00 PM,02:59:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 06:39:00
181,Hosur,Karur,KPN Travels,170,10:45:00 AM,03:00:00 PM,True,Other,False,True,False,False,2+2,volvo,0 days 04:15:00
182,Hosur,Karur,Srs Travels (SRS Travels),260,11:30:00 PM,06:00:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 06:30:00
183,Hosur,Karur,Srs Travels (SRS Travels),210,07:45:00 PM,01:00:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 05:15:00
